GVKEY,LINKTYPE,LPERMNO,LPERMCO,LINKDT,LINKENDDT,conm,tic,cusip
8463,LC,13586,54185,20120929,E,PENTAIR PLC,PNR,G7S00T104
8479,LC,13856,21384,19620131,E,PEPSICO INC,PEP,713448108
8530,LC,21936,21394,19620131,E,PFIZER INC,PFE,717081103
8530,LC,21936,21394,19500101,19620130,PFIZER INC,PFE,717081103
8539,LC,21776,21396,19620228,E,EXELON CORP,EXC,30161N101
8543,LC,13901,21398,19620131,E,ALTRIA GROUP INC,MO,02209S103
8543,LC,13901,21398,19500101,19620130,ALTRIA GROUP INC,MO,02209S103
8549,LC,13928,21401,19620131,E,CONOCOPHILLIPS,COP,20825C104
8549,LC,13928,21401,19500101,19620130,CONOCOPHILLIPS,COP,20825C104
8551,LC,13936,21402,19620228,E,PVH CORP,PVH,693656100
8551,LC,13936,21402,19500101,19620227,PVH CORP,PVH,693656100
8579,LU,51692,21405,19800131,E,PIER 1 IMPORTS INC/DE,PIRRQ,720279504
8579,LU,51692,21405,19790901,19800130,PIER 1 IMPORTS INC/DE,PIRRQ,720279504
8762,LU,18163,21446,19620131,E,PROCTER & GAMBLE CO,PG,742718109
8762,LU,18163,21446,19490701,19620130,PROCTER & GAMBLE CO,PG,742718109
8796,LC,60442,3685,19721214,19830118,PROVIDENT NATIONAL CORP,PROV.,744026105
8810,LU,23712,21458,19620131,E,PUBLIC SERVICE ENTRP GRP INC,PEG,744573106
8810,LU,23712,21458,19510101,19620130,PUBLIC SERVICE ENTRP GRP INC,PEG,744573106
8823,LU,54148,21349,19720207,E,PULTEGROUP INC,PHM,745867101
8898,LU,69649,6137,19830701,E,RAYMOND JAMES FINANCIAL CORP,RJF,754730109
8972,LU,24942,21492,19620228,E,RAYTHEON CO,RTN,755111507
8972,LU,24942,21492,19520915,19620227,RAYTHEON CO,RTN,755111507
9203,LC,84381,31847,19961216,E,ROCKWELL AUTOMATION,ROK,773903109
9225,LU,36003,21530,19620702,E,ROLLINS INC,ROL,775711104
9248,LU,91556,7684,19850808,E,ROSS STORES INC,ROST,778296103
9380,LC,59459,4293,19721214,20040401,ST PAUL COS,SPC.2,79299X952
9465,LC,14277,21576,19620202,E,SCHLUMBERGER LTD,SLB,806857108
9465,LC,14277,21576,19570101,19620201,SCHLUMBERGER LTD,SLB,806857108
9555,LC,85926,34702,19980408,E,SEALED AIR CORP,SEE,81211K100
9667,LC,36468,21609,19620702,E,SHERWIN-WILLIAMS CO,SHW,824348106
9771,LU,65402,21625,19890101,E,SMITH (A.O.),AOS,831865209
9771,LU,65402,21625,19830930,19881231,SMITH (A.O.),AOS,831865209
9777,LC,42585,21629,19651020,E,SMUCKER (JM) CO,SJM,832696405
9778,LU,60206,4162,19721214,E,SNAP-ON INC,SNA,833034101
9783,LC,64995,2535,19940302,E,KEYCORP,KEY,493267108
9846,LU,15720,21543,19620131,E,EDISON INTERNATIONAL,EIX,281020107
9846,LU,15720,21543,19510101,19620130,EDISON INTERNATIONAL,EIX,281020107
9850,LC,18411,21640,19620228,E,SOUTHERN CO,SO,842587107
9882,LU,58683,4181,19721214,E,SOUTHWEST AIRLINES,LUV,844741108
9899,LC,66093,21645,19840216,E,AT&T INC,T,00206R102
10016,LC,43350,21664,19660615,E,STANLEY BLACK & DECKER INC,SWK,854502101
10035,LU,72726,4260,19721214,E,STATE STREET CORP,STT,857477103
10096,LC,64653,4289,19810130,E,PUBLIC STORAGE,PSA,74460D109
10096,LC,64653,4289,19810101,19810129,PUBLIC STORAGE,PSA,74460D109
10115,LU,73139,4298,19790502,E,STRYKER CORP,SYK,863667101
10187,LC,68144,21691,19850701,20191231,SUNTRUST BANKS INC,STI,867914103
10247,LU,52038,21698,19710226,E,SYSCO CORP,SYY,871829107
10499,LC,15579,21737,19620228,E,TEXAS INSTRUMENTS INC,TXN,882508104
10519,LC,23579,21743,19620131,E,TEXTRON INC,TXT,883203101
10519,LC,23579,21743,19500101,19620130,TEXTRON INC,TXT,883203101
10530,LC,62092,4557,19721214,E,THERMO FISHER SCIENTIFIC INC,TMO,883556102
10614,LC,62308,21764,19721214,E,GLOBE LIFE INC,GL,3.80E+106
10631,LU,76639,6278,19830810,20190930,TOTAL SYSTEM SERVICES INC,TSS,891906109
10787,LC,45356,21791,19671114,20160902,TYCO INTERNATIONAL PLC,TYC,G91442106
10793,LC,77730,4620,19721214,E,TYSON FOODS INC  -CL A,TSN,902494103
10795,LC,91103,21793,20060202,E,UNITED AIRLINES HOLDINGS INC,UAL,910047109
10860,LU,24985,21808,19620131,E,AMEREN CORP,AEE,23608102
10860,LU,24985,21808,19521215,19620130,AMEREN CORP,AEE,23608102
10867,LU,48725,21810,19690716,E,UNION PACIFIC CORP,UNP,907818108
10894,LU,59300,3334,19800211,E,UDR INC,UDR,902653104
10903,LC,92655,7267,19841017,E,UNITEDHEALTH GROUP INC,UNH,91324P102
10920,LC,87447,36383,19991110,E,UNITED PARCEL SERVICE INC,UPS,911312106
10970,LC,15069,21795,19620131,19910411,USX CORP-CONSOLIDATED,MROX.CM,90399Y931
10970,LC,15069,21795,19500101,19620130,USX CORP-CONSOLIDATED,MROX.CM,90399Y931
10983,LU,17830,21832,19620131,E,UNITED TECHNOLOGIES CORP,UTX,913017109
10983,LU,17830,21832,19500101,19620130,UNITED TECHNOLOGIES CORP,UTX,913017109
11032,LU,79637,4655,19810709,E,UNIVERSAL HEALTH SVCS INC,UHS,913903100
11060,LC,43553,21849,19660725,E,VF CORP,VFC,918204108
11115,LU,27043,21859,19620131,E,VARIAN MEDICAL SYSTEMS INC,VAR,92220P105
11220,LC,28388,21874,19630329,E,VORNADO REALTY TRUST,VNO,929042109
11220,LC,28388,21874,19620131,19630328,VORNADO REALTY TRUST,VNO,929042109
11228,LC,15202,21876,19620131,E,VULCAN MATERIALS CO,VMC,929160109
11228,LC,15202,21876,19600101,19620130,VULCAN MATERIALS CO,VMC,929160109
11259,LU,55976,21880,19721120,E,WALMART INC,WMT,931142103
11264,LU,19502,21881,19620131,E,WALGREENS BOOTS ALLIANCE INC,WBA,931427108
